,Market,Name,Last,Percent_Diff,High,Low,Volume,Turnover,Date,Time
0,Continuous Market,ABENGOA A,0.0161,- ,- ,- ,- ,- ,Suspended 14/07/2020,Suspended 14/07/2020
1,Continuous Market,ABENGOA B,0.0062,- ,- ,- ,- ,- ,Suspended 14/07/2020,Suspended 14/07/2020
2,Continuous Market,ACCIONA,142.5000,-0.97,144.9000,141.8000,60845,8726.37,04/10/2021,16:53:38
3,Continuous Market,ACCIONA ENER,28.3500,-0.53,28.8300,28.0600,35054,999.97,04/10/2021,16:55:09
4,Continuous Market,ACERINOX,10.9150,-0.86,11.0350,10.6900,1111080,12073.64,04/10/2021,16:57:12
5,Continuous Market,ACS,23.2500,0.04,23.4500,23.1900,509029,11859.34,04/10/2021,16:57:02
6,Continuous Market,ADOLFO DGUEZ,4.2700,-2.29,4.3000,4.2700,700,3.01,04/10/2021,11:11:43
7,Continuous Market,AEDAS,24.7500,-1.00,25.1000,24.7000,9482,235.49,04/10/2021,16:41:20
8,Continuous Market,AENA,149.2500,-0.30,153.2500,148.8500,80148,12083.70,04/10/2021,16:57:02
9,Continuous Market,AIRBUS SE,114.0000,-1.69,116.9800,114.0000,3835,443.01,04/10/2021,16:49:37
10,Continuous Market,AIRTIFICIAL,0.1068,0.75,0.1080,0.1058,442670,47.08,04/10/2021,16:55:01
11,Continuous Market,ALANTRA,15.7000,-0.63,15.9000,15.7000,320,5.06,04/10/2021,16:49:11
12,Continuous Market,ALMIRALL,13.4300,-0.15,13.5800,13.3700,155575,2100.02,04/10/2021,16:57:16
13,Continuous Market,AMADEUS,58.2200,0.34,59.4800,57.9400,437899,25639.21,04/10/2021,16:57:02
14,Continuous Market,AMPER,0.1836,-0.22,0.1880,0.1830,565769,104.36,04/10/2021,16:54:37
15,Continuous Market,AMREST,6.7550,3.05,6.8000,6.4850,9744,63.54,04/10/2021,13:30:12
16,Continuous Market,APERAM,45.2900,-1.20,48.2000,44.7200,268,12.07,04/10/2021,13:28:13
17,Continuous Market,APPLUS,8.1600,-2.57,8.4900,8.1550,91344,754.64,04/10/2021,16:56:12
18,Continuous Market,ARCELORMIT.,24.7800,-1.49,25.5050,24.7750,457981,11492.28,04/10/2021,16:57:07
19,Continuous Market,ARIMA,9.2800,0.00,9.2800,9.0400,3101,28.30,04/10/2021,16:01:55
20,Continuous Market,ATRESMEDIA,3.6980,-0.11,3.7160,3.6400,90547,333.48,04/10/2021,16:56:55
21,Continuous Market,AUDAX RENOV.,1.3670,-3.60,1.4460,1.3500,2455420,3372.45,04/10/2021,16:56:00
22,Continuous Market,AUX.FERROCAR,35.7000,-0.42,36.1000,35.6000,11651,417.76,04/10/2021,16:52:26
23,Continuous Market,AZKOYEN,5.9000,0.00,5.9000,5.9000,2360,13.92,04/10/2021,15:48:24
24,Continuous Market,B.SANTANDER,3.1330,0.30,3.1780,3.0930,17036536,53356.84,04/10/2021,16:57:18
25,Continuous Market,BA.SABADELL,0.7102,0.11,0.7218,0.6954,16678132,11796.29,04/10/2021,16:57:15
26,Continuous Market,BANKINTER,5.0500,-0.04,5.1200,5.0100,835252,4229.45,04/10/2021,16:56:42
27,Continuous Market,BARON DE LEY,113.0000,0.00,113.0000,113.0000,567,64.07,04/10/2021,16:27:24
28,Continuous Market,BAVIERA,19.0000,-3.55,20.0000,18.5000,1924,36.65,04/10/2021,16:29:03
29,Continuous Market,BBVA,5.6260,-0.12,5.7100,5.5570,150843668,844944.31,04/10/2021,16:57:15
30,Continuous Market,BERKELEY,0.1850,-1.28,0.1894,0.1850,304056,56.91,04/10/2021,16:38:40
31,Continuous Market,BO.RIOJANAS,3.3000,- ,- ,- ,- ,- ,01/10/2021,Close
32,Continuous Market,BORGES BAIN,2.6800,- ,- ,- ,- ,- ,01/10/2021,Close
33,Continuous Market,CAIXABANK,2.6190,-0.61,2.6550,2.5860,7867763,20542.19,04/10/2021,16:56:53
34,Continuous Market,CAM,1.3400,- ,- ,- ,- ,- ,Suspended 09/12/2011,Suspended 09/12/2011
35,Continuous Market,CASH,0.6700,-2.33,0.6990,0.6690,1118579,763.92,04/10/2021,16:48:37
36,Continuous Market,CCEP,48.2400,0.67,49.0000,47.7000,446,21.66,04/10/2021,15:36:45
37,Continuous Market,CELLNEX,54.1800,0.97,54.1800,53.3000,2033808,109182.90,04/10/2021,16:56:06
38,Continuous Market,CEVASA,7.5500,-3.21,7.5500,7.5500,2498,18.86,04/10/2021,12:00:20
39,Continuous Market,CIE AUTOMOT.,21.3400,-0.09,21.5800,21.1800,131130,2800.54,04/10/2021,16:53:37
40,Continuous Market,CLEOP,1.1500,- ,- ,- ,- ,- ,Suspended 12/06/2012,Suspended 12/06/2012
41,Continuous Market,CODERE,0.5510,-1.78,0.5750,0.5350,342875,188.83,04/10/2021,16:44:00
42,Continuous Market,COEMAC,2.8700,- ,- ,- ,- ,- ,Suspended 31/01/2020,Suspended 31/01/2020
43,Continuous Market,CORP. ALBA,47.7000,0.74,47.9500,46.8000,11052,523.83,04/10/2021,16:55:32
44,Continuous Market,D.E.ANCLAJE,10.1000,- ,- ,- ,- ,- ,01/10/2021,Close
45,Continuous Market,D.FELGUERA,0.8500,-0.47,0.8745,0.8440,352902,301.75,04/10/2021,16:55:31
46,Continuous Market,DEOLEO,0.3330,-0.06,0.3438,0.3320,312844,104.80,04/10/2021,16:57:02
47,Continuous Market,DIA,0.0151,0.67,0.0155,0.0150,38332252,584.76,04/10/2021,16:51:11
48,Continuous Market,DOMINION,4.2600,-1.16,4.3500,4.2600,51050,220.53,04/10/2021,16:56:11
49,Continuous Market,EBRO FOODS,16.4800,0.86,16.5600,16.2800,51351,842.76,04/10/2021,16:51:32
50,Continuous Market,ECOENER,5.4500,-0.73,5.5400,5.4200,2621,14.26,04/10/2021,16:53:07
51,Continuous Market,EDREAMS,7.5600,-3.32,7.9500,7.5300,92143,709.94,04/10/2021,16:55:48
52,Continuous Market,ELECNOR,9.6000,0.00,9.6800,9.4400,10463,99.61,04/10/2021,16:49:36
53,Continuous Market,ENAGAS,19.4300,0.91,19.4650,19.1850,313153,6046.88,04/10/2021,16:56:54
54,Continuous Market,ENCE,2.3840,-1.16,2.4200,2.3540,988832,2362.43,04/10/2021,16:55:28
55,Continuous Market,ENDESA,17.6650,0.37,17.8450,17.6050,631411,11191.94,04/10/2021,16:57:18
56,Continuous Market,ERCROS,3.5450,1.87,3.5750,3.4700,158893,560.40,04/10/2021,16:54:32
57,Continuous Market,EZENTIS,0.3220,2.55,0.3250,0.3120,301721,96.22,04/10/2021,16:51:57
58,Continuous Market,FAES FARMA,3.4460,2.56,3.4880,3.3620,368002,1264.88,04/10/2021,16:57:18
59,Continuous Market,FCC,10.5000,-1.13,10.7200,10.5000,43807,465.43,04/10/2021,16:35:37
60,Continuous Market,FERROVIAL,25.7700,1.34,25.9400,25.4000,497302,12790.61,04/10/2021,16:57:05
