position,book,author,avg_rating,num_ratings,score,num_votes
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.32,6988237,3164067,32235
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.50,2778744,2761210,28232
3,To Kill a Mockingbird,Harper Lee,4.27,4973150,2394659,24597
4,Pride and Prejudice,Jane Austen,4.27,3364393,2161526,22256
5,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,5435675,1510030,15392
6,The Book Thief,Markus Zusak,4.38,2049232,1490390,15363
7,Animal Farm,George Orwell,3.96,3068661,1352072,14035
8,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,4.25,570175,1292185,13497
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.60,118797,1239399,12918
10,The Fault in Our Stars,John Green,4.18,4012180,1151564,11947
11,Gone with the Wind,Margaret Mitchell,4.30,1130894,1108685,11428
12,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,1574951,1101041,11382
13,The Giving Tree,Shel Silverstein,4.37,981153,1058184,10972
14,Wuthering Heights,Emily Brontë,3.87,1475102,1028481,10760
15,The Picture of Dorian Gray,Oscar Wilde,4.10,1106102,937809,9871
16,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.88,2080852,908610,9560
17,Jane Eyre,Charlotte Brontë,4.13,1769988,885953,9350
18,Memoirs of a Geisha,Arthur Golden,4.13,1813142,882629,9198
19,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,496914,868412,9169
20,Les Misérables,Victor Hugo,4.18,723339,845389,8884
21,Fahrenheit 451,Ray Bradbury,3.98,1894376,839022,9005
22,The Perks of Being a Wallflower,Stephen Chbosky,4.21,1400248,834098,8754
23,"Divergent (Divergent, #1)",Veronica Roth,4.17,3238783,832966,8748
24,The Great Gatsby,F. Scott Fitzgerald,3.93,4171503,822522,8838
25,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,7925968,816189,8640
26,Lord of the Flies,William Golding,3.69,2462242,806244,8576
27,Crime and Punishment,Fyodor Dostoevsky,4.23,711022,799904,8358
28,Romeo and Juliet,William Shakespeare,3.75,2215133,795882,8538
29,The Little Prince,Antoine de Saint-Exupéry,4.31,1589303,773033,8240
30,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.09,1764432,754673,7941
31,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.26,813916,741065,7816
32,The Help,Kathryn Stockett,4.46,2347367,740731,7928
33,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.30,1220675,736967,7685
34,Charlotte's Web,E.B. White,4.18,1553231,708012,7648
35,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.27,2269322,702820,7461
36,Of Mice and Men,John Steinbeck,3.88,2110152,695487,7509
37,The Time Traveler's Wife,Audrey Niffenegger,3.98,1655621,673307,7046
38,Dracula,Bram Stoker,4.00,1034363,671090,7245
39,Brave New World,Aldous Huxley,3.99,1574727,659415,7079
40,One Hundred Years of Solitude,Gabriel García Márquez,4.09,819922,648220,6823
41,The Catcher in the Rye,J.D. Salinger,3.81,2969234,640046,6916
42,The Princess Bride,William Goldman,4.25,830716,623849,6647
43,A Thousand Splendid Suns,Khaled Hosseini,4.39,1263295,614619,6517
44,The Secret Garden,Frances Hodgson Burnett,4.13,987324,611456,6720
45,The Alchemist,Paulo Coelho,3.89,2371160,605049,6344
46,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,2155158,589776,6298
47,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,1107662,581839,6217
48,The Outsiders,S.E. Hinton,4.10,1052346,548916,5931
49,The Adventures of Huckleberry Finn,Mark Twain,3.82,1195728,529698,5831
50,The Lovely Bones,Alice Sebold,3.83,2138438,523696,5657
51,The Odyssey,Homer,3.78,922477,519058,5699
52,Where the Wild Things Are,Maurice Sendak,4.22,886760,516545,5630
53,Green Eggs and Ham,Dr. Seuss,4.29,677578,510495,5617
54,Life of Pi,Yann Martel,3.92,1434589,504868,5464
55,A Tale of Two Cities,Charles Dickens,3.85,856187,503253,5520
56,Water for Elephants,Sara Gruen,4.09,1464400,480940,5183
57,Lolita,Vladimir Nabokov,3.88,716136,477353,5143
58,The Kite Runner,Khaled Hosseini,4.31,2641533,476216,5188
59,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.83,1274371,465756,5204
60,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,1210068,463647,5016
61,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12,1641471,463135,5076
